node_id_org,node_id_dest,distance,highway,oneway,bridge,tunnel
3731206080,3731206084,23.643655,footway,None,None,None
3731206084,3731206109,513.595329,footway,None,None,None
3731206109,3731206108,3.373623,footway,None,None,None
3731206108,3731206107,3.303920,footway,None,None,None
3731206107,3731206106,136.460844,footway,None,None,None
3731206106,1334441925,7.655982,footway,None,None,None
1334441925,1334441949,3.528288,footway,None,None,None
1334441949,1334441865,37.655063,footway,None,None,None
1334441865,1334441922,32.314586,footway,None,None,None
1334441922,1334441884,5.231246,footway,None,None,None
1334441884,1334441910,10.586771,footway,None,None,None
1334441910,1334441943,10.468762,footway,None,None,None
1334441943,1334441899,6.524166,footway,None,None,None
1334441899,1334441932,6.952550,footway,None,None,None
1334441932,1334441917,17.559396,footway,None,None,None
1334441917,1334441907,5.518259,footway,None,None,None
1334441907,3731206102,11.836914,footway,None,None,None
3731206102,1334441938,10.374273,footway,None,None,None
1334441938,1334441928,13.062288,footway,None,None,None
1334441928,1334441960,9.969258,footway,None,None,None
1334441960,1334441951,14.069377,footway,None,None,None
1334441951,1334441881,36.913381,footway,None,None,None
1334441881,1334441870,139.471911,footway,None,None,None
1334441870,3731206090,37.420268,footway,None,None,None
3731206090,1334441940,1.859875,footway,None,None,None
1334441940,3731206089,3.894621,footway,None,None,None
3731206089,3731206091,1.941069,footway,None,None,None
3731206091,3731206093,28.478199,footway,None,None,None
3731206093,3731206094,33.727174,footway,None,None,None
2303738217,3731514445,96.746192,tertiary,yes,None,None
3731514445,2303738236,68.445911,tertiary,yes,None,None
2303738236,3731514447,21.267005,tertiary,yes,None,None
3731514447,3731514448,8.863148,tertiary,yes,None,None
3731514448,3731514453,201.661207,tertiary,yes,None,None
3731514453,3731514455,207.684312,tertiary,yes,None,None
3731514455,3731514461,206.658401,tertiary,yes,None,None
3731514461,3731514467,165.281259,tertiary,yes,None,None
3731514467,3731514468,9.002293,tertiary,yes,None,None
3731514468,3731514476,365.228655,tertiary,yes,None,None
3731514476,2593542684,167.263963,tertiary,yes,None,None
2593542684,1336182831,29.252866,tertiary,yes,None,None
1336182831,2534635816,265.610696,tertiary,yes,None,None
2534635816,288384935,150.891751,tertiary,yes,None,None
288384935,3731514483,10.341161,tertiary,yes,None,None
3731514483,288364075,140.636202,tertiary,yes,None,None
4318817498,4318817569,81.849393,footway,None,None,None
4318817569,4318817697,27.515587,footway,None,None,None
4318817697,4318817723,38.498451,footway,None,None,None
4318817723,4318817749,26.056149,footway,None,None,None
4318817749,4318817758,6.777588,footway,None,None,None
4318817758,4318817767,3.733038,footway,None,None,None
4318817767,4318817772,2.055992,footway,None,None,None
4318817772,4318817779,5.712083,footway,None,None,None
4318817779,1651532549,4.082916,footway,None,None,None
4318817539,4318817542,3.829443,footway,None,None,None
4318817542,4318817510,36.591487,footway,None,None,None
4318817510,4318817456,54.439000,footway,None,None,None
4318817456,4318817382,63.427993,footway,None,None,None
4318817382,4318817361,16.637473,footway,None,None,None
4318817361,4318817344,14.231659,footway,None,None,None
4318817344,4318817314,18.366148,footway,None,None,None
4318817314,4318817303,17.973232,footway,None,None,None
4318817303,4318812388,23.566967,footway,None,None,None
4318812388,4318812371,20.889929,footway,None,None,None
4318817312,4318817317,11.571683,footway,None,None,None
4318817317,4318817341,16.513868,footway,None,None,None
4318817341,4318817360,16.953389,footway,None,None,None
4318817360,4318817374,13.035944,footway,None,None,None
4318817374,4318817415,31.392941,footway,None,None,None
4318817415,4318817440,21.941602,footway,None,None,None
4318817440,4318817470,24.522606,footway,None,None,None
4318817470,4318817497,26.221372,footway,None,None,None
4318817497,4318817521,29.667673,footway,None,None,None
4318817521,4318817552,34.497884,footway,None,None,None
4318817552,4318817564,13.288301,footway,None,None,None
4318817564,4318817569,4.204891,footway,None,None,None
4318817438,4318817539,104.325064,footway,None,None,None
4318817539,4318817719,88.151184,footway,None,None,None
4318817719,4318817732,14.486014,footway,None,None,None
4318817732,4318817748,13.936080,footway,None,None,None
4318817748,4318817774,17.516383,footway,None,None,None
4318817774,4318817890,10.452397,footway,None,None,None
4318817890,4318818135,105.692380,footway,None,None,None
4318818135,4318818186,117.160152,footway,None,None,None
4318818186,4318818188,51.320341,footway,None,None,None
4318818188,4318818192,3.687269,footway,None,None,None
4318818192,4318818191,2.151428,footway,None,None,None
4318818191,4318818190,1.615295,footway,None,None,None
4318818190,4318818189,2.230599,footway,None,None,None
4318818189,4318818187,4.043792,footway,None,None,None
4318817890,4318817778,5.410429,pedestrian,None,None,None
4318817778,4318817773,5.405855,pedestrian,None,None,None
4318817773,4318817761,5.401252,pedestrian,None,None,None
4318817761,4318817750,5.402150,pedestrian,None,None,None
4318817750,4318817743,5.394478,pedestrian,None,None,None
4318817743,4318817733,6.051647,pedestrian,None,None,None
4318817733,4318817724,6.050208,pedestrian,None,None,None
4318817724,4318817718,7.388205,pedestrian,None,None,None
4318817718,4318817717,4.714097,pedestrian,None,None,None
4318817717,4318817714,6.072082,pedestrian,None,None,None
4318817714,4318817712,6.071998,pedestrian,None,None,None
4318817712,4318817709,6.076771,pedestrian,None,None,None
4318817709,4318817711,6.075585,pedestrian,None,None,None
4318817711,4318817713,6.073623,pedestrian,None,None,None
4318817713,4318817716,6.068557,pedestrian,None,None,None
4318817716,4318817719,6.067441,pedestrian,None,None,None
4318817719,4318817732,14.486014,pedestrian,None,None,None
4318817732,4318817748,13.936080,pedestrian,None,None,None
4318817748,4318817774,17.516383,pedestrian,None,None,None
4318817774,4318817890,10.452397,pedestrian,None,None,None
4318817438,4318817370,57.173976,footway,None,None,None
4318817370,4318817389,15.025235,footway,None,None,None
4318817389,4318817398,5.054810,footway,None,None,None
4318817398,4318817310,67.621885,footway,None,None,None
4318817310,4318817305,4.729872,footway,None,None,None
4318817305,4318817304,3.065363,footway,None,None,None
4318817304,4318817306,3.173305,footway,None,None,None
4318817306,4318817308,1.583708,footway,None,None,None
4318817308,4318817311,3.327208,footway,None,None,None
4318817311,4318817316,8.418425,footway,None,None,None
4318817316,4318817320,4.666202,footway,None,None,None
4318817320,4318817321,2.448739,footway,None,None,None
4318817321,4318817319,2.097380,footway,None,None,None
4318817319,4318817313,9.554995,footway,None,None,None
4318817313,4318817307,6.415672,footway,None,None,None
4318817307,4318817299,11.812691,footway,None,None,None
4318817299,4318812386,11.089601,footway,None,None,None
4318812386,4318812381,3.317484,footway,None,None,None
4318812381,4318812377,4.597546,footway,None,None,None
