node_id_org,node_id_dest,distance,highway
5109258734,4666465658,11.130679,"path"
4666465658,5109258734,11.130679,"path"
4624468267,4666465571,23.549666,"footway"
4666465571,4624468267,23.549666,"footway"
4666465654,4624468266,19.105462,"footway"
4624468266,4666465654,19.105462,"footway"
5091984494,5091969123,7.324809,"footway"
5091969123,5091984494,7.324809,"footway"
5091984493,5091984492,14.784422,"footway"
5091984492,5091984493,14.784422,"footway"
5091968386,5091968396,17.191791,"footway"
5091968396,5091968386,17.191791,"footway"
5091969135,5091968396,32.309754,"footway"
5091968396,5091969135,32.309754,"footway"
5091969123,5091969133,23.318146,"footway"
5091969133,5091969123,23.318146,"footway"
5091984488,5091984489,65.004426,"service"
5091984489,5091984488,65.004426,"service"
5091984489,1097935069,9.954413,"service"
1097935069,5091984489,9.954413,"service"
1097906537,1097906857,39.16653,"service"
1097906857,5091968417,325.111769,"service"
5091968417,1097906537,285.945239,"service"
5091968417,1097906665,75.718876,"service"
1097906665,5091968417,75.718876,"service"
1097906665,1097906526,43.510172,"service"
1097906526,1097906665,43.510172,"service"
5091968414,5091969128,43.088031,"footway"
5091969128,5091968414,43.088031,"footway"
5091969128,5091969133,29.667628,"footway"
5091969133,5091969128,29.667628,"footway"
5091969133,5091969129,30.473042,"footway"
5091969129,5091969133,30.473042,"footway"
1097906665,5091969127,62.146291,"footway"
5091969127,1097906665,62.146291,"footway"
5091969127,5091969128,27.560171,"footway"
5091969128,5091969127,27.560171,"footway"
5091969128,5091968407,16.637231,"footway"
5091968407,5091969128,16.637231,"footway"
5091969127,5091968407,32.069717,"footway"
5091968407,5091969127,32.069717,"footway"
5091968407,5091969123,28.10339,"footway"
5091969123,5091968407,28.10339,"footway"
5091969123,5091969121,62.455163,"footway"
5091969121,5091969123,62.455163,"footway"
5091968420,1097906526,99.010408,"footway"
1097906526,5091968420,99.010408,"footway"
5091968420,5091968400,40.497384999999994,"footway"
5091984492,5091968420,9.515483,"footway"
5091969121,5091984492,10.984356,"footway"
5091968396,5091969121,79.966434,"footway"
5091969129,5091968396,108.006247,"footway"
5091984489,5091969129,10.048825,"footway"
5091968414,5091984489,84.90156900000001,"footway"
5091968417,5091968414,74.206891,"footway"
1143721532,2235081807,10.311992,"primary"
2348718846,1143721532,39.622547000000004,"primary"
1093626410,1093626721,37.41993,"primary"
5889304192,4777901323,24.898243,"footway"
4777901323,5889304192,24.898243,"footway"
4777901323,5889312134,74.186229,"footway"
5889312134,4777901323,74.186229,"footway"
5889312134,2196829288,51.253471000000005,"footway"
2196829288,5889312134,51.253471000000005,"footway"
4666465605,4666465681,27.299185,"path"
4666465678,4666465677,14.539311,"path"
4666465677,4666465678,14.539311,"path"
4666465677,5109258754,7.345833,"path"
5109258754,4666465677,7.345833,"path"
4666465676,4666465675,14.589876,"path"
4666465675,4666465676,14.589876,"path"
4666465675,5109258750,11.120436,"path"
5109258750,4666465675,11.120436,"path"
4666465674,4666465673,41.193982,"footway"
4666465673,4666465674,41.193982,"footway"
5109258816,4666465673,25.433205,"footway"
4666465514,1192530099,19.864504,"footway"
1192530099,4666465514,19.864504,"footway"
5109258742,5109258744,34.011445,"footway"
5109258744,5109258742,34.011445,"footway"
5109258744,5109258738,41.517415,"footway"
5109258738,5109258744,41.517415,"footway"
4666465603,4666465661,69.443181,"footway"
4666465661,4666465603,69.443181,"footway"
4666465645,4666465658,46.072001,"footway"
4666465658,4666465645,46.072001,"footway"
4666465658,4666465654,41.835772000000006,"footway"
4666465654,4666465658,41.835772000000006,"footway"
4666465654,4666465653,19.167197,"footway"
4666465653,4666465654,19.167197,"footway"
4666465660,4666465649,28.015594999999998,"footway"
4666465649,4666465660,28.015594999999998,"footway"
5109258739,4666465590,33.793668000000004,"footway"
4666465590,5109258739,33.793668000000004,"footway"
4666465590,4666465649,7.082797,"footway"
4666465649,4666465590,7.082797,"footway"
4666465649,5109258738,12.562425000000001,"footway"
5109258738,4666465649,12.562425000000001,"footway"
5109258738,5109258743,34.903247,"footway"
5109258743,5109258738,34.903247,"footway"
5109258743,4666465646,9.54333,"footway"
4666465646,5109258743,9.54333,"footway"
5109258736,4666465660,6.613278,"footway"
4666465660,5109258736,6.613278,"footway"
4666465660,4666465645,6.868706,"footway"
4666465645,4666465660,6.868706,"footway"
4666465645,5109258742,38.883123,"footway"
5109258742,4666465645,38.883123,"footway"
5109258742,4666465661,46.724214,"footway"
4666465661,5109258742,46.724214,"footway"
